Date,Open,High,Low,Close,Volume,Adj Close
1/2/1981,0.154018,0.155134,0.154018,0.154018,21660800,0.121107
1/5/1981,0.151228,0.151228,0.15067,0.15067,35728000,0.118474
1/6/1981,0.144531,0.144531,0.143973,0.143973,45158400,0.113208
1/7/1981,0.138393,0.138393,0.137835,0.137835,55686400,0.108382
1/8/1981,0.135603,0.135603,0.135045,0.135045,39827200,0.106188
1/9/1981,0.142299,0.142857,0.142299,0.142299,21504000,0.111892
1/12/1981,0.142299,0.142299,0.141183,0.141183,23699200,0.111014
1/13/1981,0.136719,0.136719,0.136161,0.136161,23049600,0.107065
1/14/1981,0.136719,0.137277,0.136719,0.136719,14291200,0.107504
1/15/1981,0.139509,0.140625,0.139509,0.139509,14067200,0.109698
1/16/1981,0.138951,0.138951,0.138393,0.138393,13395200,0.10882
1/19/1981,0.146763,0.147321,0.146763,0.146763,41574400,0.115402
1/20/1981,0.142857,0.142857,0.142299,0.142299,30083200,0.111892
1/21/1981,0.145089,0.146205,0.145089,0.145089,15904000,0.114086
1/22/1981,0.146763,0.147879,0.146763,0.146763,35548800,0.115402
1/23/1981,0.146763,0.147321,0.146205,0.146205,11222400,0.114963
1/26/1981,0.144531,0.144531,0.143973,0.143973,24640000,0.113208
1/27/1981,0.143973,0.143973,0.142857,0.142857,23699200,0.112331
1/28/1981,0.138951,0.138951,0.138393,0.138393,28156800,0.10882
1/29/1981,0.133929,0.133929,0.133371,0.133371,43904000,0.104872
1/30/1981,0.127232,0.127232,0.126116,0.126116,46188800,0.099167
2/2/1981,0.11942,0.11942,0.118862,0.118862,23766400,0.093463
2/3/1981,0.123326,0.123884,0.123326,0.123326,19152000,0.096973
2/4/1981,0.12779,0.128348,0.12779,0.12779,27865600,0.100483
2/5/1981,0.12779,0.128906,0.12779,0.12779,7929600,0.100483
2/6/1981,0.128348,0.128906,0.128348,0.128348,13865600,0.100922
2/9/1981,0.122768,0.122768,0.121652,0.121652,16755200,0.095657
2/10/1981,0.121652,0.12221,0.121652,0.121652,18345600,0.095657
2/11/1981,0.118304,0.118304,0.117746,0.117746,13843200,0.092585
2/12/1981,0.117188,0.117188,0.116629,0.116629,14560000,0.091707
2/13/1981,0.114955,0.114955,0.113839,0.113839,11155200,0.089513
2/17/1981,0.116629,0.117188,0.116629,0.116629,12275200,0.091707
2/18/1981,0.121652,0.122768,0.121652,0.121652,19241600,0.095657
2/19/1981,0.114955,0.114955,0.114397,0.114397,22310400,0.089952
2/20/1981,0.108817,0.108817,0.108259,0.108259,24371200,0.085126
2/23/1981,0.109933,0.110491,0.109933,0.109933,14112000,0.086442
2/24/1981,0.107143,0.107143,0.106027,0.106027,16979200,0.083371
2/25/1981,0.112723,0.113281,0.112723,0.112723,19488000,0.088636
2/26/1981,0.114397,0.114955,0.114397,0.114397,10841600,0.089952
2/27/1981,0.118304,0.11942,0.118304,0.118304,14761600,0.093024
3/2/1981,0.118862,0.11942,0.118862,0.118862,11760000,0.093463
3/3/1981,0.117746,0.117746,0.117188,0.117188,16172800,0.092147
3/4/1981,0.116629,0.116629,0.116071,0.116071,13708800,0.091268
3/5/1981,0.116071,0.116071,0.115513,0.115513,5376000,0.09083
3/6/1981,0.115513,0.115513,0.114397,0.114397,11603200,0.089952
3/9/1981,0.106027,0.106027,0.105469,0.105469,15321600,0.082932
3/10/1981,0.101004,0.101004,0.100446,0.100446,28380800,0.078982
3/11/1981,0.097656,0.097656,0.09654,0.09654,29859200,0.075911
3/12/1981,0.100446,0.101004,0.100446,0.100446,59248000,0.078982
3/13/1981,0.099888,0.099888,0.09933,0.09933,231302400,0.078105
3/16/1981,0.103237,0.104353,0.103237,0.103237,37228800,0.081177
3/17/1981,0.108259,0.109375,0.108259,0.108259,43747200,0.085126
3/18/1981,0.114955,0.116071,0.114955,0.114955,36937600,0.090391
3/19/1981,0.114397,0.114397,0.113839,0.113839,37811200,0.089513
3/20/1981,0.114955,0.116071,0.114955,0.114955,14604800,0.090391
3/23/1981,0.11942,0.120536,0.11942,0.11942,22019200,0.093902
3/24/1981,0.11942,0.11942,0.118862,0.118862,28156800,0.093463
3/25/1981,0.117746,0.117746,0.116629,0.116629,7056000,0.091707
3/26/1981,0.114955,0.114955,0.114397,0.114397,12275200,0.089952
3/27/1981,0.111049,0.111049,0.110491,0.110491,12252800,0.086881
3/30/1981,0.110491,0.111607,0.110491,0.110491,9900800,0.086881
3/31/1981,0.110491,0.110491,0.109375,0.109375,15993600,0.086003
4/1/1981,0.108817,0.108817,0.108259,0.108259,34070400,0.085126
4/2/1981,0.117746,0.118304,0.117746,0.117746,31404800,0.092585
4/3/1981,0.118304,0.118862,0.118304,0.118304,16486400,0.093024
4/6/1981,0.116629,0.116629,0.116071,0.116071,22803200,0.091268
4/7/1981,0.115513,0.115513,0.114955,0.114955,10684800,0.090391
4/8/1981,0.120536,0.121652,0.120536,0.120536,21952000,0.094779
4/9/1981,0.122768,0.123326,0.122768,0.122768,12499200,0.096534
4/10/1981,0.124442,0.125,0.124442,0.124442,33465600,0.097851
4/13/1981,0.124442,0.125,0.124442,0.124442,16060800,0.097851
4/14/1981,0.124442,0.125,0.124442,0.124442,6652800,0.097851
4/15/1981,0.118862,0.118862,0.118304,0.118304,34048000,0.093024
